X,Y,OBJECTID,TRAILSYSID,SITENAME,SITEADDR,TOWNNO,PARKING,TRAILRPKNG,RESTROOM,FOOD,WATER,OPENWHEN,PARKINGNUM
904860.491999999,743730.531000003,196,144,Wooster Rd.,Wooster Rd.,81,Non Parking,False,False,False,False,Year-round,0
909221.584999993,745894.849999994,197,144,Allerton Farms Rd.,Allerton Farms Rd.,88,Non Parking,False,False,False,False,Year-round,0
876080.866999999,651244.410999998,198,1, ,"Trumbull, CT",3,Parking Lot,True,False,False,False,Year-round,0
870045.300500005,663301.201250002,199,2, ,"Trumbull, CT",3,None,False,False,False,False,Year-round,0
866747.666250005,666599.197750002,200,4, ,"Trumbull, CT",3,Parking Lot,True,False,False,False,Year-round,0
864612.636500001,667256.822500005,201,5, ,"Trumbull, CT",3,None,False,False,False,False,Year-round,0
865337.326250002,668245.965749994,202,6, ,"Trumbull, CT",1,None,False,False,False,False,Year-round,0
863977.552249998,670222.096249998,203,7,Wolfe Park,"Monroe, CT",2,Parking Lot,True,False,False,False,Year-round,0
863461.76275,672034.320999995,204,8, ,"Monroe, CT",2,None,False,False,False,False,Year-round,0
862481.481749997,681589.225250006,205,9, ,"Monroe, CT",2,None,False,False,False,False,Year-round,0
862699.039499998,682040.403249994,206,10, ,"Monroe, CT",2,None,False,False,False,False,Year-round,0
862992.473250002,683964.431500003,207,11, ,"Monroe, CT",2,None,False,False,False,False,Year-round,0
863336.676499993,685600.047250003,208,12, ,"Monroe, CT",2,None,False,False,False,False,Year-round,0
861904.861750007,687555.532749996,209,13, ,"Monroe, CT",2,None,False,False,False,False,Year-round,0
